,clip_name,tools_present
68,clip_000068,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
69,clip_000069,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
70,clip_000070,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
71,clip_000071,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
72,clip_000072,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
73,clip_000073,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
74,clip_000074,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
75,clip_000075,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
76,clip_000076,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
77,clip_000077,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
78,clip_000078,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
79,clip_000079,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
80,clip_000080,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
81,clip_000081,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
82,clip_000082,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
83,clip_000083,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
84,clip_000084,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
85,clip_000085,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]"
86,clip_000086,"[needle driver, nan, needle driver, cadiere forceps]"
87,clip_000087,"[needle driver, nan, needle driver, cadiere forceps]"
88,clip_000088,"[needle driver, nan, needle driver, cadiere forceps]"
89,clip_000089,"[needle driver, nan, needle driver, cadiere forceps]"
90,clip_000090,"[needle driver, nan, needle driver, cadiere forceps]"
91,clip_000091,"[needle driver, nan, needle driver, cadiere forceps]"
92,clip_000092,"[needle driver, nan, needle driver, cadiere forceps]"
93,clip_000093,"[needle driver, nan, needle driver, cadiere forceps]"
94,clip_000094,"[needle driver, nan, needle driver, cadiere forceps]"
95,clip_000095,"[needle driver, nan, needle driver, cadiere forceps]"
96,clip_000096,"[needle driver, nan, needle driver, cadiere forceps]"
97,clip_000097,"[needle driver, nan, needle driver, cadiere forceps]"
98,clip_000098,"[needle driver, nan, needle driver, cadiere forceps]"
99,clip_000099,"[needle driver, nan, needle driver, cadiere forceps]"
100,clip_000100,"[needle driver, nan, needle driver, cadiere forceps]"
101,clip_000101,"[needle driver, nan, needle driver, cadiere forceps]"
102,clip_000102,"[needle driver, nan, needle driver, cadiere forceps]"
103,clip_000103,"[needle driver, nan, needle driver, cadiere forceps]"
104,clip_000104,"[needle driver, nan, needle driver, cadiere forceps]"
105,clip_000105,"[needle driver, nan, needle driver, cadiere forceps]"
106,clip_000106,"[needle driver, nan, needle driver, cadiere forceps]"
107,clip_000107,"[needle driver, nan, needle driver, cadiere forceps]"
108,clip_000108,"[needle driver, nan, needle driver, cadiere forceps]"
109,clip_000109,"[needle driver, nan, needle driver, cadiere forceps]"
110,clip_000110,"[needle driver, nan, needle driver, cadiere forceps]"
111,clip_000111,"[needle driver, nan, needle driver, cadiere forceps]"
112,clip_000112,"[needle driver, nan, needle driver, cadiere forceps]"
113,clip_000113,"[needle driver, nan, needle driver, cadiere forceps]"
114,clip_000114,"[needle driver, nan, needle driver, cadiere forceps]"
115,clip_000115,"[needle driver, nan, needle driver, cadiere forceps]"
116,clip_000116,"[needle driver, nan, needle driver, cadiere forceps]"
117,clip_000117,"[needle driver, nan, needle driver, cadiere forceps]"
118,clip_000118,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
119,clip_000119,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
120,clip_000120,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
121,clip_000121,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
122,clip_000122,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
123,clip_000123,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
124,clip_000124,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
125,clip_000125,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
126,clip_000126,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
127,clip_000127,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
128,clip_000128,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
129,clip_000129,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
130,clip_000130,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
131,clip_000131,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
132,clip_000132,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
133,clip_000133,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
134,clip_000134,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
135,clip_000135,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
136,clip_000136,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
137,clip_000137,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
138,clip_000138,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
139,clip_000139,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
140,clip_000140,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
141,clip_000141,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
142,clip_000142,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
143,clip_000143,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
144,clip_000144,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
145,clip_000145,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
146,clip_000146,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
147,clip_000147,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
148,clip_000148,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
149,clip_000149,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
150,clip_000150,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
151,clip_000151,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
152,clip_000152,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
153,clip_000153,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
154,clip_000154,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
155,clip_000155,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
156,clip_000156,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
157,clip_000157,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
158,clip_000158,"[needle driver, nan, monopolar curved scissors, grasping retractor]"
159,clip_000159,"[needle driver, nan, needle driver, grasping retractor]"
160,clip_000160,"[needle driver, nan, needle driver, grasping retractor]"
161,clip_000161,"[needle driver, nan, needle driver, grasping retractor]"
162,clip_000162,"[needle driver, nan, needle driver, grasping retractor]"
163,clip_000163,"[needle driver, nan, needle driver, grasping retractor]"
164,clip_000164,"[needle driver, nan, needle driver, grasping retractor]"
165,clip_000165,"[needle driver, nan, needle driver, grasping retractor]"
166,clip_000166,"[needle driver, nan, needle driver, grasping retractor]"
167,clip_000167,"[needle driver, nan, needle driver, grasping retractor]"
168,clip_000168,"[needle driver, nan, needle driver, grasping retractor]"
169,clip_000169,"[needle driver, nan, needle driver, grasping retractor]"
170,clip_000170,"[needle driver, nan, needle driver, grasping retractor]"
171,clip_000171,"[needle driver, nan, needle driver, grasping retractor]"
172,clip_000172,"[needle driver, nan, needle driver, grasping retractor]"
173,clip_000173,"[needle driver, nan, needle driver, grasping retractor]"
174,clip_000174,"[needle driver, nan, needle driver, grasping retractor]"
175,clip_000175,"[needle driver, nan, monopolar curved scissors, grasping retractor]"
176,clip_000176,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
177,clip_000177,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
178,clip_000178,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
179,clip_000179,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
180,clip_000180,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
181,clip_000181,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
182,clip_000182,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
183,clip_000183,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
184,clip_000184,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
185,clip_000185,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
186,clip_000186,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
187,clip_000187,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
188,clip_000188,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
189,clip_000189,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
190,clip_000190,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
191,clip_000191,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
192,clip_000192,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
193,clip_000193,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
194,clip_000194,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
195,clip_000195,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
196,clip_000196,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
197,clip_000197,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
198,clip_000198,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
199,clip_000199,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
200,clip_000200,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
201,clip_000201,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
202,clip_000202,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
203,clip_000203,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
204,clip_000204,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
205,clip_000205,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]"
206,clip_000206,"[grasping retractor, bipolar forceps, nan, clip applier ]"
207,clip_000207,"[grasping retractor, bipolar forceps, nan, clip applier ]"
208,clip_000208,"[grasping retractor, bipolar forceps, nan, clip applier ]"
209,clip_000209,"[needle driver, nan, needle driver, cadiere forceps]"
210,clip_000210,"[needle driver, nan, needle driver, cadiere forceps]"
211,clip_000211,"[needle driver, nan, needle driver, cadiere forceps]"
212,clip_000212,"[needle driver, nan, needle driver, cadiere forceps]"
213,clip_000213,"[needle driver, nan, needle driver, cadiere forceps]"
214,clip_000214,"[needle driver, nan, needle driver, cadiere forceps]"
215,clip_000215,"[needle driver, nan, needle driver, cadiere forceps]"
216,clip_000216,"[needle driver, nan, needle driver, cadiere forceps]"
217,clip_000217,"[needle driver, nan, needle driver, cadiere forceps]"
218,clip_000218,"[needle driver, nan, needle driver, cadiere forceps]"
219,clip_000219,"[needle driver, nan, needle driver, cadiere forceps]"
220,clip_000220,"[needle driver, nan, needle driver, cadiere forceps]"
221,clip_000221,"[needle driver, nan, needle driver, cadiere forceps]"
222,clip_000222,"[needle driver, nan, needle driver, cadiere forceps]"
223,clip_000223,"[needle driver, nan, needle driver, cadiere forceps]"
224,clip_000224,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
225,clip_000225,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
226,clip_000226,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
227,clip_000227,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
228,clip_000228,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
229,clip_000229,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
230,clip_000230,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
231,clip_000231,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
232,clip_000232,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
233,clip_000233,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
234,clip_000234,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
235,clip_000235,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
236,clip_000236,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
237,clip_000237,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
238,clip_000238,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
239,clip_000239,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
240,clip_000240,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
241,clip_000241,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
242,clip_000242,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
243,clip_000243,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
244,clip_000244,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
245,clip_000245,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
246,clip_000246,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
247,clip_000247,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
248,clip_000248,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
249,clip_000249,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
250,clip_000250,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
251,clip_000251,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
252,clip_000252,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
253,clip_000253,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
254,clip_000254,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
255,clip_000255,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
256,clip_000256,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
257,clip_000257,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
258,clip_000258,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
259,clip_000259,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
260,clip_000260,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
261,clip_000261,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
262,clip_000262,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
263,clip_000263,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
264,clip_000264,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
265,clip_000265,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
266,clip_000266,"[needle driver, nan, needle driver, cadiere forceps]"
267,clip_000267,"[needle driver, nan, needle driver, cadiere forceps]"
268,clip_000268,"[needle driver, nan, needle driver, cadiere forceps]"
269,clip_000269,"[needle driver, nan, needle driver, cadiere forceps]"
270,clip_000270,"[needle driver, nan, needle driver, cadiere forceps]"
271,clip_000271,"[needle driver, nan, needle driver, cadiere forceps]"
272,clip_000272,"[needle driver, nan, needle driver, cadiere forceps]"
273,clip_000273,"[needle driver, nan, needle driver, cadiere forceps]"
274,clip_000274,"[needle driver, nan, needle driver, cadiere forceps]"
275,clip_000275,"[needle driver, nan, needle driver, cadiere forceps]"
276,clip_000276,"[needle driver, nan, needle driver, cadiere forceps]"
277,clip_000277,"[needle driver, nan, needle driver, cadiere forceps]"
278,clip_000278,"[needle driver, nan, needle driver, cadiere forceps]"
279,clip_000279,"[needle driver, nan, needle driver, cadiere forceps]"
280,clip_000280,"[needle driver, nan, needle driver, cadiere forceps]"
281,clip_000281,"[needle driver, nan, needle driver, cadiere forceps]"
282,clip_000282,"[needle driver, nan, needle driver, cadiere forceps]"
283,clip_000283,"[needle driver, nan, needle driver, cadiere forceps]"
284,clip_000284,"[needle driver, nan, needle driver, cadiere forceps]"
285,clip_000285,"[needle driver, nan, needle driver, cadiere forceps]"
286,clip_000286,"[needle driver, nan, needle driver, cadiere forceps]"
287,clip_000287,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
288,clip_000288,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
289,clip_000289,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
290,clip_000290,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
291,clip_000291,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
292,clip_000292,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
293,clip_000293,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
294,clip_000294,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
295,clip_000295,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
296,clip_000296,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
297,clip_000297,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
298,clip_000298,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
299,clip_000299,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
300,clip_000300,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
301,clip_000301,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
302,clip_000302,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
303,clip_000303,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]"
304,clip_000304,"[needle driver, nan, monopolar curved scissors, cadiere forceps]"
305,clip_000305,"[needle driver, nan, monopolar curved scissors, cadiere forceps]"
306,clip_000306,"[needle driver, nan, monopolar curved scissors, cadiere forceps]"
307,clip_000307,"[needle driver, nan, needle driver, cadiere forceps]"
308,clip_000308,"[needle driver, nan, needle driver, cadiere forceps]"
309,clip_000309,"[needle driver, nan, needle driver, cadiere forceps]"
310,clip_000310,"[needle driver, nan, needle driver, cadiere forceps]"
311,clip_000311,"[needle driver, nan, needle driver, cadiere forceps]"
312,clip_000312,"[needle driver, nan, needle driver, cadiere forceps]"
313,clip_000313,"[needle driver, nan, needle driver, cadiere forceps]"
314,clip_000314,"[needle driver, nan, needle driver, cadiere forceps]"
315,clip_000315,"[needle driver, nan, needle driver, cadiere forceps]"
316,clip_000316,"[needle driver, nan, needle driver, cadiere forceps]"
317,clip_000317,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
318,clip_000318,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
319,clip_000319,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
320,clip_000320,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
321,clip_000321,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
322,clip_000322,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
323,clip_000323,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
324,clip_000324,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
325,clip_000325,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
326,clip_000326,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
327,clip_000327,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
328,clip_000328,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
329,clip_000329,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
330,clip_000330,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
331,clip_000331,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
332,clip_000332,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
333,clip_000333,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
334,clip_000334,"[cadiere forceps, bipolar forceps, nan, monopolar curved scissors]"
335,clip_000335,"[cadiere forceps, bipolar forceps, nan, clip applier ]"
336,clip_000336,"[cadiere forceps, bipolar forceps, nan, vessel sealer]"
337,clip_000337,"[cadiere forceps, bipolar forceps, nan, vessel sealer]"
338,clip_000338,"[needle driver, nan, needle driver, cadiere forceps]"
339,clip_000339,"[needle driver, nan, needle driver, cadiere forceps]"
340,clip_000340,"[needle driver, nan, needle driver, cadiere forceps]"
341,clip_000341,"[needle driver, nan, needle driver, cadiere forceps]"
342,clip_000342,"[needle driver, nan, needle driver, cadiere forceps]"
343,clip_000343,"[needle driver, nan, needle driver, cadiere forceps]"
344,clip_000344,"[needle driver, nan, needle driver, cadiere forceps]"
345,clip_000345,"[needle driver, nan, needle driver, cadiere forceps]"
346,clip_000346,"[needle driver, nan, needle driver, cadiere forceps]"
347,clip_000347,"[needle driver, nan, needle driver, cadiere forceps]"
348,clip_000348,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
349,clip_000349,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
350,clip_000350,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
351,clip_000351,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
352,clip_000352,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
353,clip_000353,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
354,clip_000354,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
355,clip_000355,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
356,clip_000356,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
357,clip_000357,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
358,clip_000358,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
359,clip_000359,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
360,clip_000360,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
361,clip_000361,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
362,clip_000362,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
363,clip_000363,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
364,clip_000364,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
365,clip_000365,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
366,clip_000366,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
367,clip_000367,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
368,clip_000368,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
369,clip_000369,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
370,clip_000370,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
371,clip_000371,"[bipolar forceps, nan, monopolar curved scissors, cadiere forceps]"
